50
05024800661;50248;RUA;AUGUSTO MUNIZ;661;Cardoso;BARREIRO;30626380;603708.914307747;7787532.842174550
12451300030;124513;RUA;IPE MIRIM;30;Etelvina Carneiro;NORTE;31746110;611284.372645528;7809032.065153490
05024800841;50248;RUA;AUGUSTO MUNIZ;841;Cardoso;BARREIRO;30626380;603550.263400244;7787493.969901000
12451300337;124513;RUA;IPE MIRIM;337;Etelvina Carneiro;NORTE;31746110;611675.897413698;7809141.538288140
10071200340A;100712;RUA;CRISANTO MUNIZ;340;Rio Branco;VENDA NOVA;31535450;606795.617378932;7808907.015464030
12451300027;124513;RUA;IPE MIRIM;27;Etelvina Carneiro;NORTE;31746110;611271.560231020;7809076.071321500
09532000044A;95320;RUA;ELISA MOREIRA DE ARAUJO;44;Jardim Vitória;NORDESTE;31975280;616797.129870295;7804749.957866820
05024800242;50248;RUA;AUGUSTO MUNIZ;242;Cardoso;BARREIRO;30626380;603910.171724173;7787579.162965870
09833100010;98331;RUA;ELISA HELENA;10;Nazaré;NORDESTE;31985420;615296.773774607;7804176.731701350
09459900048B;94599;RUA;OTAVIO MUNIZ CARVALHO;48;Ouro Preto;PAMPULHA;31310660;606187.927334812;7801719.789963790
05024800091;50248;RUA;AUGUSTO MUNIZ;91;Cardoso;BARREIRO;30626380;604144.429197864;7787697.959387230
05024800200A;50248;RUA;AUGUSTO MUNIZ;200;Cardoso;BARREIRO;30626380;604164.722331141;7787703.208344060
05024800004;50248;RUA;AUGUSTO MUNIZ;4;Cardoso;BARREIRO;30626380;604300.433172098;7787714.846018800
17085000286A;170850;RUA;MUNIZ;286;Santa Sofia;OESTE;30451392;608059.553374141;7793826.694089000
06396900285B;63969;RUA;SAPUCAI MIRIM;285;Itapoã;PAMPULHA;31710130;608562.603882870;7806529.556389030
09849900203;98499;RUA;JOSE VIEIRA MUNIZ;203;Floramar;NORTE;31742005;611084.147343302;7806877.647040130
10808700099A;108087;RUA;ELISA;99;Piratininga;VENDA NOVA;31573480;605676.497627503;7808442.485160790
09532000065;95320;RUA;ELISA MOREIRA DE ARAUJO;65;Jardim Vitória;NORDESTE;31975280;616790.780534553;7804742.419361830
09459900036;94599;RUA;OTAVIO MUNIZ CARVALHO;36;Ouro Preto;PAMPULHA;31310660;606174.181440033;7801736.006751670
3 5
1;SAPUCAI MIRIM;610852.776102353;7794349.986865708
2;ELISA;611815.887911944;7789669.950873085
3;JOSE VIEIRA MUNIZ;605185.882708750;7805667.808558537
